income,loan_amount,credit_score,months_employed,num_credit_lines,interest_rate,loan_term,dti_ratio,default
141958,14216,711,212,12,11.36,60,0.7,0
35795,36547,634,215,19,19.99,12,0.38,0
20860,32471,521,225,19,13.62,24,0.15,1
123694,18308,336,130,9,6.75,48,0.7,0
148106,28532,577,75,10,10.66,12,0.66,0
139879,35349,495,285,8,13.37,60,0.79,0
130268,46445,783,276,8,10.85,24,0.73,0
96820,6713,541,155,4,11.64,24,0.69,0
74886,5804,623,247,0,10.88,60,0.09,0
26265,11136,491,217,16,5.83,60,0.13,0
102386,1009,316,189,1,17.74,12,0.48,0
148214,20255,823,162,12,16.95,36,0.45,0
57194,24793,700,179,8,18.07,24,0.39,0
107498,30548,321,33,3,8.85,12,0.35,0
132727,38892,773,40,4,10.91,60,0.37,0
146324,2015,419,306,10,17.39,12,0.48,0
64131,28712,509,337,18,16.99,60,0.05,0
80263,35961,605,313,2,15.13,48,0.25,0
36023,9415,569,74,11,12.01,60,0.44,0
61090,47318,584,278,18,23.26,60,0.59,0
87221,48280,526,175,18,11.8,60,0.18,0
84820,24833,680,149,12,14.11,36,0.46,0
20769,5158,759,272,6,18.56,60,0.59,0
79735,21309,306,324,14,15.86,24,0.38,0
82955,7970,328,107,6,11.94,24,0.07,0
84925,7938,332,138,7,13.71,12,0.39,0
141637,22168,378,349,4,20.89,36,0.27,0
87969,47540,758,270,13,10.56,12,0.75,0
25311,21384,837,346,3,7.85,24,0.14,0
123355,19017,781,288,9,11.26,24,0.54,0
124724,11344,729,211,19,21.99,48,0.09,0
103104,41034,584,271,14,6.78,60,0.38,0
73707,9702,815,65,17,24.83,24,0.47,0
105305,1384,398,247,19,15.82,12,0.27,0
48693,1404,696,155,12,24.7,12,0.39,0
91932,41943,788,46,7,23.78,60,0.17,0
147723,48926,338,200,8,14.06,60,0.28,0
113016,30189,570,147,15,8.97,48,0.52,0
126970,13763,456,123,18,8.3,36,0.28,0
45658,19384,374,0,15,9.8,12,0.72,1
104478,33606,429,246,6,19.2,60,0.52,0
142537,10860,383,342,13,10.46,12,0.38,0
